href,year,make,model,trim,odometer,seller_type,date_found,location,listed_price
https://www.facebook.com/marketplace/item/1494983191707826/,2013,Hyundai,i30,,121,,2025-11-27,,9550
https://www.carsales.com.au/cars/details/2014-hyundai-i30-active-auto-my14/OAG-AD-25245325/,2014,Hyundai,i30,Active Auto F MY14,99,Dealer used,2025-11-27,,12990
https://www.carsales.com.au/cars/details/2014-hyundai-i30-trophy-auto-my14/SSE-AD-19628103/,2014,Hyundai,i30,Trophy Auto F MY14,96,Private,2025-11-27,,14500
https://www.carsales.com.au/cars/details/2013-hyundai-i30-active-auto/SSE-AD-19506086/,2013,Hyundai,i30,Active Auto F,106,Private,2025-11-27,,10000
https://www.carsales.com.au/cars/details/2013-hyundai-i30-active-auto-my14/SSE-AD-19540741/,2013,Hyundai,i30,Active Auto F MY14,83,Private,2025-11-27,,14000
https://www.carsales.com.au/cars/details/2013-hyundai-i30-elite-auto/SSE-AD-19740377/,2013,Hyundai,i30,Elite Auto F,168,Private,2025-11-27,,10000
https://www.carsales.com.au/cars/details/2016-hyundai-i30-active-x-auto-my17/OAG-AD-25205291/,2016,Hyundai,i30,Active X Auto F MY17,69,Dealer used,2025-11-27,,16990
https://www.carsales.com.au/cars/details/2013-hyundai-i30-elite-auto/SSE-AD-19747822/,2013,Hyundai,i30,Elite Auto F,81,Private,2025-11-27,,14000
https://www.carsales.com.au/cars/details/2015-hyundai-i30-active-auto-my16/SSE-AD-19650600/,2015,Hyundai,i30,Active Auto F MY16,156,Private,2025-11-27,,11000
https://www.carsales.com.au/cars/details/2015-hyundai-i30-active-auto-my16/OAG-AD-25278375/,2015,Hyundai,i30,Active Auto F MY16,139,Dealer used,2025-11-27,,13990
https://www.carsales.com.au/cars/details/2013-hyundai-i30-active-auto/OAG-AD-25170148/,2013,Hyundai,i30,Active Auto F,139,Dealer used,2025-11-27,,13488
https://www.facebook.com/marketplace/item/708504388287960/,2017,Hyundai,i30,,80,,2025-11-27,,20000
https://www.carsales.com.au/cars/details/2014-hyundai-i30-active-auto-my14/SSE-AD-19545192/,2014,Hyundai,i30,Active Auto F MY14,166,Private,2025-11-27,,10400
https://www.carsales.com.au/cars/details/2015-hyundai-i30-active-auto-my16/OAG-AD-25179502/,2015,Hyundai,i30,Active Auto F MY16,161,Dealer used,2025-11-27,,12950
https://www.carsales.com.au/cars/details/2014-hyundai-i30-elite-auto-my14/OAG-AD-25276544/,2014,Hyundai,i30,Elite Auto F MY14,135,Dealer used,2025-11-27,,13490
https://www.carsales.com.au/cars/details/2015-hyundai-i30-active-auto-my16/SSE-AD-16123506/,2015,Hyundai,i30,Active Auto F MY16,134,Private,2025-11-27,,13500
https://www.carsales.com.au/cars/details/2014-hyundai-i30-elite-auto-my14/OAG-AD-25238151/,2014,Hyundai,i30,Elite Auto F MY14,140,Dealer used,2025-11-27,,12990
https://www.carsales.com.au/cars/details/2013-hyundai-i30-premium-auto/SSE-AD-19730627/,2013,Hyundai,i30,Premium Auto F,99,Private,2025-11-27,,14200
https://www.carsales.com.au/cars/details/2015-hyundai-i30-sr-premium-auto-my16/SSE-AD-19594969/,2015,Hyundai,i30,SR Premium Auto F MY16,185,Private,2025-11-27,,12100
https://www.facebook.com/marketplace/item/877743207921905/,2016,Hyundai,i30,,116,,2025-11-27,,16000
https://www.facebook.com/marketplace/item/1161450328764075/,2017,Hyundai,i30,,91,,2025-11-27,,20000
https://www.facebook.com/marketplace/item/875850568212749/,2017,Hyundai,i30,,110,,2025-11-27,,15500
https://www.facebook.com/marketplace/item/1349571939897444/,2017,Hyundai,i30,,84,,2025-11-27,,23000
https://www.facebook.com/marketplace/item/836197302338225/,2012,Hyundai,i30,,149,,2025-11-27,,8000
